GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,DriverComparator.ById,11,19,8,4,2,4,6,2,0,2
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,Utils,212,166,11,13,33,30,13,15,5,11
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,InstallDriversMojoExecutionException,0,21,0,0,0,4,0,2,0,2
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,Driver,11,159,6,10,2,17,6,9,0,7
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,HelpMojo,854,0,108,0,153,0,70,0,16,0
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,DriverVersionHandler,15,87,1,3,2,16,1,5,0,4
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,DriverDownloader,42,195,1,7,4,41,1,10,0,7
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,DriverInstaller,89,352,12,30,11,50,12,20,0,11
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,ComparableVersion.StringItem,160,0,18,0,29,0,18,0,7,0
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,ComparableVersion,100,136,19,17,18,31,15,10,2,5
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,ComparableVersion.IntegerItem,19,55,4,4,3,15,4,8,0,7
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,DriverComparator.ByVersion,11,19,8,4,2,4,6,2,0,2
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,DriverExtractor,23,74,0,2,2,12,0,3,0,2
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,ProxyUtils,12,81,7,5,0,14,5,9,0,8
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,InstallDriversMojo,79,285,3,19,15,61,4,18,1,10
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,ComparableVersion.ListItem,36,109,8,22,8,26,8,13,1,4
WebDriver Extensions Maven Plugin,com.github.webdriverextensions,Repository,29,447,2,50,4,100,3,45,1,21
WebDriver Extensions Maven Plugin,com.github.webdriverextensions.newversion,FileExtractorImpl,8,481,6,56,4,106,6,37,0,12
